[2026-04-10 15:25:02] [ERROR] SIG-PORT-SCAN | 10.10.10.50 -> 192.168.1.1 | Potential TCP port scan detected | Source 10.10.10.50 targeted 12 unique destination ports on 192.168.1.1 in the last 10 seconds.
[2026-04-10 15:25:02] [CRITICAL] SIG-SYN-FLOOD | 172.16.0.25 -> 192.168.1.100:80 | Possible SYN flood detected | 35 TCP SYN packets hit 192.168.1.100:80 within 10 seconds.
[2026-04-10 15:25:02] [WARNING] ANOM-TRAFFIC-SPIKE | 172.16.0.25 -> 192.168.1.100:80 | Traffic spike from a single source detected | 172.16.0.25 generated 40/59 packets in the last 20 seconds (68% of recent traffic).
[2026-04-10 15:25:03] [ERROR] SIG-ICMP-FLOOD | 192.168.56.77 -> 192.168.1.1 | Possible ICMP flood detected | 20 ICMP packets arrived from 192.168.56.77 within 5 seconds.
[2026-04-10 15:25:03] [WARNING] SIG-BROADCAST-UDP | 192.168.1.60 -> 192.168.1.255:161 | Large UDP packet sent to broadcast address | Broadcast-style UDP traffic may indicate discovery abuse or misuse of internal services.
[2026-04-10 15:25:03] [WARNING] ANOM-LARGE-PACKET | 192.168.1.60 -> 192.168.1.255:161 | Unusually large packet observed | Current packet length 1228 bytes exceeded the recent baseline threshold of 900.0 bytes.
[2026-04-10 15:27:07] [ERROR] SIG-PORT-SCAN | 10.10.10.50 -> 192.168.1.1 | Potential TCP port scan detected | Source 10.10.10.50 targeted 12 unique destination ports on 192.168.1.1 in the last 10 seconds.
[2026-04-10 15:27:07] [CRITICAL] SIG-SYN-FLOOD | 172.16.0.25 -> 192.168.1.100:80 | Possible SYN flood detected | 35 TCP SYN packets hit 192.168.1.100:80 within 10 seconds.
[2026-04-10 15:27:07] [WARNING] ANOM-TRAFFIC-SPIKE | 172.16.0.25 -> 192.168.1.100:80 | Traffic spike from a single source detected | 172.16.0.25 generated 40/59 packets in the last 20 seconds (68% of recent traffic).
[2026-04-10 15:27:07] [ERROR] SIG-ICMP-FLOOD | 192.168.56.77 -> 192.168.1.1 | Possible ICMP flood detected | 20 ICMP packets arrived from 192.168.56.77 within 5 seconds.
[2026-04-10 15:27:07] [WARNING] SIG-BROADCAST-UDP | 192.168.1.60 -> 192.168.1.255:161 | Large UDP packet sent to broadcast address | Broadcast-style UDP traffic may indicate discovery abuse or misuse of internal services.
[2026-04-10 15:27:07] [WARNING] ANOM-LARGE-PACKET | 192.168.1.60 -> 192.168.1.255:161 | Unusually large packet observed | Current packet length 1228 bytes exceeded the recent baseline threshold of 900.0 bytes.
[2026-04-10 15:27:09] [WARNING] ANOM-WIDE-TARGETING | 10.10.10.50 -> 192.168.1.1 | One source is probing many service ports | 10.10.10.50 contacted 16 distinct destination ports in the last 20 seconds.
[2026-04-10 15:43:45] [ERROR] SIG-PORT-SCAN | 10.10.10.50 -> 192.168.1.1 | Potential TCP port scan detected | Source 10.10.10.50 targeted 12 unique destination ports on 192.168.1.1 in the last 10 seconds.
[2026-04-10 15:43:45] [CRITICAL] SIG-SYN-FLOOD | 172.16.0.25 -> 192.168.1.100:80 | Possible SYN flood detected | 35 TCP SYN packets hit 192.168.1.100:80 within 10 seconds.
[2026-04-10 15:43:45] [WARNING] ANOM-TRAFFIC-SPIKE | 172.16.0.25 -> 192.168.1.100:80 | Traffic spike from a single source detected | 172.16.0.25 generated 40/59 packets in the last 20 seconds (68% of recent traffic).
[2026-04-10 15:43:45] [ERROR] SIG-ICMP-FLOOD | 192.168.56.77 -> 192.168.1.1 | Possible ICMP flood detected | 20 ICMP packets arrived from 192.168.56.77 within 5 seconds.
[2026-04-10 15:43:45] [WARNING] SIG-BROADCAST-UDP | 192.168.1.60 -> 192.168.1.255:161 | Large UDP packet sent to broadcast address | Broadcast-style UDP traffic may indicate discovery abuse or misuse of internal services.
[2026-04-10 15:43:45] [WARNING] ANOM-LARGE-PACKET | 192.168.1.60 -> 192.168.1.255:161 | Unusually large packet observed | Current packet length 1228 bytes exceeded the recent baseline threshold of 900.0 bytes.
[2026-04-10 15:43:47] [WARNING] ANOM-WIDE-TARGETING | 10.10.10.50 -> 192.168.1.1 | One source is probing many service ports | 10.10.10.50 contacted 16 distinct destination ports in the last 20 seconds.
[2026-04-10 15:43:48] [WARNING] ANOM-TRAFFIC-SPIKE | 192.168.56.77 -> 192.168.1.1 | Traffic spike from a single source detected | 192.168.56.77 generated 40/159 packets in the last 20 seconds (25% of recent traffic).
[2026-04-10 15:43:50] [WARNING] ANOM-TRAFFIC-SPIKE | 10.10.10.50 -> 192.168.1.1:27 | Traffic spike from a single source detected | 10.10.10.50 generated 40/181 packets in the last 20 seconds (22% of recent traffic).
